subject,story,raw_score,sft_score,delta
sub-083,prettymouth,0.919,0.9198,0.0007999999999999119
sub-217,shapesphysical,0.7697,0.7705,0.0007999999999999119
sub-066,pieman,0.9717,0.9724,0.0007000000000000339
sub-056,lucy,0.9737,0.9744,0.0007000000000000339
sub-101,prettymouth,0.8704,0.8711,0.0007000000000000339
sub-190,21styear,0.7948,0.7955,0.0007000000000000339
sub-152,merlin,0.8472,0.8479,0.0007000000000000339
sub-028,pieman,0.9783,0.979,0.0007000000000000339
sub-066,prettymouth,0.9735,0.9742,0.0006999999999999229
sub-293,black,0.8637,0.8644,0.0006999999999999229
sub-345,notthefallintact,0.9574,0.9581,0.0006999999999999229
sub-309,black,0.7682,0.7688,0.0006000000000000449
sub-139,slumlordreach,0.939,0.9396,0.0006000000000000449
sub-146,merlin,0.7686,0.7692,0.0006000000000000449
sub-066,lucy,0.951,0.9516,0.0006000000000000449
sub-332,notthefallintact,0.9609,0.9615,0.0006000000000000449
sub-325,notthefallintact,0.9719,0.9725,0.0006000000000000449
sub-303,forgot,0.895,0.8956,0.0005999999999999339
sub-237,shapessocial,0.8726,0.8732,0.0005999999999999339
sub-282,piemanpni,0.8451,0.8456,0.000500000000000056
sub-035,pieman,0.8832,0.8837,0.000500000000000056
sub-031,pieman,0.911,0.9115,0.0004999999999999449
sub-065,notthefallintact,0.9633,0.9638,0.0004999999999999449
sub-095,prettymouth,0.9855,0.986,0.0004999999999999449
sub-225,shapesphysical,0.8122,0.8127,0.0004999999999999449
sub-055,pieman,0.9761,0.9765,0.00040000000000006697
sub-136,slumlordreach,0.8563,0.8567,0.00040000000000006697
sub-106,slumlordreach,0.9944,0.9948,0.00040000000000006697
sub-016,notthefallintact,0.9781,0.9785,0.00040000000000006697
sub-025,pieman,0.9856,0.986,0.00039999999999995595
sub-172,sherlock,0.796,0.7964,0.00039999999999995595
sub-253,shapessocial,0.9149,0.9153,0.00039999999999995595
sub-052,pieman,0.9838,0.9842,0.00039999999999995595
sub-302,bronx,0.8293,0.8297,0.00039999999999995595
sub-336,notthefallintact,0.901,0.9014,0.00039999999999995595
sub-058,pieman,0.9943,0.9946,0.000300000000000078
sub-127,shapesphysical,0.8644,0.8647,0.000300000000000078
sub-292,bronx,0.8894,0.8897,0.000300000000000078
sub-277,bronx,0.8506,0.8509,0.00029999999999996696
sub-281,piemanpni,0.8155,0.8158,0.00029999999999996696
sub-100,prettymouth,0.9624,0.9627,0.00029999999999996696
sub-333,notthefallintact,0.8858,0.8861,0.00029999999999996696
sub-319,notthefallintact,0.9725,0.9728,0.00029999999999996696
sub-150,merlin,0.8034,0.8037,0.00029999999999996696
sub-065,prettymouth,0.9685,0.9688,0.00029999999999996696
sub-018,pieman,0.9661,0.9663,0.000200000000000089
sub-022,lucy,0.8967,0.8969,0.00019999999999997797
sub-088,prettymouth,0.8608,0.861,0.00019999999999997797
sub-052,prettymouth,0.86,0.8602,0.00019999999999997797
sub-296,forgot,0.8258,0.826,0.00019999999999997797
sub-142,slumlordreach,0.9787,0.9789,0.00019999999999997797
sub-133,slumlordreach,0.9014,0.9016,0.00019999999999997797
sub-252,shapesphysical,0.7901,0.7903,0.00019999999999997797
sub-030,prettymouth,0.9343,0.9345,0.00019999999999997797
sub-326,notthefalllongscram,0.9464,0.9465,9.999999999998899e-05
sub-013,tunnel,0.9767,0.9768,9.999999999998899e-05
sub-106,prettymouth,0.9776,0.9777,9.999999999998899e-05
